"Speaker","Section","Item Ref","Utterance"
"(stage)","Opening","","Quick follow-up call, 30 minutes scheduled. Marcus and Priya both on. Marcus has the Roadmap pulled up."
"Marcus","Opening","","Got the Roadmap, read it twice. I want to do this efficiently — let me go top to bottom and call out anything I want to change or flag. If I don't say anything about a section, assume I approve as written."
"Marcus","Opening","","Big picture first: this is the document I was missing. Now I see how everything connects. The Now / Next / Later structure works for me. The 24 initiatives split across 4 themes feels right — not too granular, not too vague."
"Marcus","Header & Meta","Methodology line","""Agile — Fixed-Range"" — fine. I trust your team on the methodology label."
"Marcus","Header & Meta","Living document framing","""Living document, no baseline sign-off, reviewed monthly"" — I like this. Especially the ""CR baseline measured against the most recently agreed version"" framing. Means we're not endlessly relitigating Charter scope, we're working off the latest Roadmap snapshot. Good."
"Marcus","Header & Meta","Blackout windows callout","Blackout windows in the header — appreciate that you put it up top. Anyone reading this Roadmap immediately sees ""don't release in summer."" That's exactly the kind of context I'd expect to lose otherwise."
"Marcus","Themes","T-1 to T-4","Themes — approve all four as written. T-4 ""Platform Modernisation Alignment"" is the one I'm most relieved to see called out as a theme. Auth0 + SOC 2 + future accounting integrations — that whole coordination workstream needed its own bucket. If you'd buried that across other themes I'd be worried."
"Marcus","Now Bucket","Overall","Now bucket — 11 initiatives, R-001 through R-011. Let me go through them."
"Marcus","Now Bucket","R-001 Job Dispatch & Receive","R-001 — approved. Effort ""M"" feels right. Q2→Q3 window aligns with what we discussed."
"Marcus","Now Bucket","R-002 Offline Job-Completion Capture","R-002 — approved, and I notice you flagged this as the longest-pole MVP item depending on R-007. That tracking is exactly what I want to see. The success signal ""Sundance pilot technicians complete ≥80% of pilot jobs through the app rather than reverting to paper"" — that's a strong measurable. Hold to it."
"Marcus","Now Bucket","R-003 Customer Signature Capture","R-003 — approved. ""S"" effort feels right. One note: the 2-7 year retention reference is correct but I want to flag — once legal review (D-009) comes back, retention requirements may firm up. Could go from ""customer expectation"" to ""contractual or regulatory"". Worth noting in case it changes effort."
"Marcus","Now Bucket","R-004 Sync to Web Platform","R-004 — approved. The ""≥80% same-day for pilot jobs"" success signal is the one I'd defend hardest. That's the headline business outcome."
"Marcus","Now Bucket","R-005 Technician Schedule View","R-005 — approved. Read-only in MVP, routing/rescheduling out of scope — that's correct. If a technician asks ""can I move my own jobs around"" we say no for v1."
"Priya","Now Bucket","R-006 Legacy API Integration & Hardening","R-006 — accurate writeup. The ""6 weeks from receiving my architecture one-pager"" signal is realistic if I deliver Wednesday as planned. If I slip on the one-pager that 6-week clock slips with me."
"Priya","Now Bucket","R-006 Legacy API Integration & Hardening","One thing I want to flag: the ""proxy / wrapper layer if needed"" line. I'd actually say *plan for one*, don't treat it as conditional. The legacy API has enough naming-convention drift that a wrapper is going to be cleaner long term."
"Marcus","Now Bucket","R-007 Offline Architecture & Conflict Resolution","R-007 — approved as a spike. The ""avoid over-engineering, scope to MVP feature set"" line is what I'd want to underline in red. Don't let your Tech Lead spend three weeks evaluating CRDT libraries when last-write-wins might be fine."
"Priya","Now Bucket","R-007 Offline Architecture & Conflict Resolution","Agreed. My instinct is last-write-wins with a clear conflict-banner UX for the rare contested case is enough for MVP. But that's the spike's call, not mine."
"Marcus","Now Bucket","R-008 Auth Strategy","R-008 — needs an update. We made the Auth0 decision in the last call — go with Auth0 from day one. Status should change from ""Pending Decision"" to ""Decided — Auth0"". The ADR is still pending but the strategic call is locked. Update the Roadmap to reflect this."
"Priya","Now Bucket","R-008 Auth Strategy","Confirmed. I'll send your Tech Lead the briefing this week and we can have the ADR drafted within two weeks per what we agreed."
"Marcus","Now Bucket","R-009 SOC 2-Compatible Foundations","R-009 — approved, and I love that this is treated as cross-cutting rather than as a separate initiative. ""PulseField Mobile is *not a barrier* to FieldPulse's parallel SOC 2 work"" — that's the right framing. We're not certifying mobile, we're not blocking SOC 2."
