"Speaker","Section","Question Ref","Utterance"
"(stage)","Opening","","Marcus joins the call, Priya is on a separate window with her camera off but mic ready. Marcus is on his laptop, looks slightly caffeinated, has a notebook open."
"Marcus","Opening","","Thanks Vadim, appreciate you putting this together. Priya's on too — say hi, Priya."
"Priya","Opening","","(off-screen) Hi everyone. I'll jump in on the technical bits."
"Marcus","Opening","","Yeah so — let's just go through it. I read the questionnaire last night, made some notes. Some of these I have clear answers on, some I'm honestly still figuring out. Tell me if you want me to slow down anywhere."
"Marcus","1. Project & Business Context","1.1","Yeah, that's all still accurate. Nothing has changed since I talked to your sales guy. SMS, phone calls, paper forms, end-of-day data entry. That's the world our customers' technicians live in."
"Marcus","1. Project & Business Context","1.2","Good question on numbers. So — 80 customers, average is probably 12-ish technicians each, so call it ~950 active technicians across our customer base. But I want to be honest: we won't get all of them on day one. Realistically if we get 30-40% adoption in year one I'd be thrilled. As for other end users — yes, office dispatchers. Almost every one of our customers has someone in the office assigning jobs. They use our web app today. Customer-facing — not now, that's a future thing, definitely out of scope for this."
"Marcus","1. Project & Business Context","1.3","(Marcus pauses, leans back) Okay, this is the one I've been chewing on. Honestly? Six months in, success looks like: we've stopped losing customers to ServiceTitan and Housecall Pro because of the mobile gap. That's the real thing. If I'm being more concrete: I'd want to see at least 20 of our existing customers actively using the mobile app with their technicians. Twelve months in — I want it to be a reason people choose us, not just a reason they don't leave. So new customer acquisition driven partly by mobile."
"Marcus","1. Project & Business Context","1.3","Specific metrics — I haven't set hard targets, and I'd actually want your help thinking about what's realistic. But if you're pushing me: billing cycle time, because that's the one our customers complain about most. Today, paper forms come in at 6pm, get entered the next morning, invoiced two days later. If we can compress that to same-day, that's a story I can sell."
"Marcus","1. Project & Business Context","1.3","What would tell me we're off-track at three months — if technicians are downloading it and not using it. If we ship something and the daily-active number is under 30% of installed base, something's wrong."
"Marcus","1. Project & Business Context","1.4","Churn. So — we lost 6 customers last year explicitly citing mobile as the reason, out of the 80-ish base. That's nearly 8%. But I think the real number is higher because some who churned for ""other reasons"" probably had mobile as a contributing factor. We've had 3 more leave just this Q1 alone. That's why I'm anxious."
"Marcus","1. Project & Business Context","1.5","(thinks for a second) Nothing competing for budget at the same scale, but — Priya, you want to take this?"
"Priya","1. Project & Business Context","1.5","We're also looking at upgrading our auth system this year, moving off a custom-rolled thing onto Auth0 or similar. That's not a competing project but it might overlap with mobile if we're touching login flows anyway. Worth flagging."
"Marcus","1. Project & Business Context","1.5","Yeah. And we hired a customer success person last month, so onboarding capacity is improving — that's relevant for rollout."
"Marcus","2. Stakeholders & Decision Making","2.1","I have sole sign-off on requirements and scope. For Change Requests — if it's under, say, 10% scope change, me alone. Anything bigger I'd want Priya in the room because it's usually got technical implications. I don't have a board to clear things with — we're founder-funded plus a small angel round, and the angels are silent."
"Marcus","2. Stakeholders & Decision Making","2.2","Same as above. Me for small CRs, me + Priya for anything material."
"Marcus","2. Stakeholders & Decision Making","2.3","Day-to-day BA contact: me, Marcus. I'd rather be the bottleneck than have you guessing. Priya for anything technical — she'll be direct contact for your tech lead. Don't go around me to other people on the team without checking first, just because we're small and it gets messy fast."
"Marcus","2. Stakeholders & Decision Making","2.4","(scratches head) This one I haven't fully thought through. My instinct: we have one customer — Sundance HVAC in Phoenix, owner's name is Dave Martinez — who's been begging us for mobile for two years. He's offered to be a guinea pig. So probably 2-3 of his technicians plus our customer success lead, Jenna Rodriguez, doing UAT internally as a proxy. I'd want to talk to Dave before promising anything though."
